ivf_mpi_omp_results.csv

run_id,algorithm,np,threads,nodes,ppn,total_cores,nlist,nprobe,k,test_queries,partition,cache_hit,recall,latency_us,bcast_us,search_avg_us,search_max_us,gather_us,merge_us,candidate_count_avg,work_min,work_avg,work_max,imbalance_ratio,batch_time_ms,qps

45231.master_ubss1,ivf-mpi-omp,1,2,1,2,2,512,64,10,200,block,1,0.991000,521.138906,0.488758,481.652021,481.652021,0.666380,0.507832,15113.300000,100000,100000.000000,100000,1.000000,104.614496,1911.780941

45234.master_ubss1,ivf-mpi-omp,16,1,2,8,16,512,64,10,2000,block,0,0.990550,374.981046,21.331072,68.009943,90.367913,224.960566,2.550840,15384.605000,6250,6250.000000,6250,1.000000,754.570007,2650.516162

45235.master_ubss1,ivf-mpi-omp,16,1,2,8,16,512,64,10,2000,block,1,0.990550,366.246939,21.864772,63.867569,86.037636,202.403069,2.603889,15384.605000,6250,6250.000000,6250,1.000000,737.039804,2713.557650

45237.master_ubss1,ivf-mpi-omp,16,1,2,8,16,512,64,10,2000,block,1,0.990550,368.748665,28.398395,74.831426,113.027692,167.634130,2.702475,15384.605000,6250,6250.000000,6250,1.000000,742.488861,2693.643103

45238.master_ubss1,ivf-mpi-omp,8,2,2,8,16,512,64,10,2000,block,1,0.990550,1642.232060,3.090739,688.153133,746.702552,268.123031,1.774669,15384.605000,12500,12500.000000,12500,1.000000,3289.299011,608.032287

45240.master_ubss1,ivf-mpi-omp,8,2,2,8,16,512,64,10,2000,block,1,0.990550,1409.597397,3.342867,739.590243,972.734571,16.706109,1.713753,15384.605000,12500,12500.000000,12500,1.000000,2824.190855,708.167437

45241.master_ubss1,ivf-mpi-omp,8,2,2,8,16,512,64,10,2000,block,1,0.990550,1383.326292,3.898978,737.250954,947.934508,17.499208,1.697302,15384.605000,12500,12500.000000,12500,1.000000,2771.647692,721.592433

45242.master_ubss1,ivf-mpi-omp,8,2,2,8,16,512,64,10,2000,block,1,0.990550,1411.667228,3.086090,754.359767,978.409648,33.983588,1.717448,15384.605000,12500,12500.000000,12500,1.000000,2828.228235,707.156507

45243.master_ubss1,ivf-mpi-omp,4,4,2,8,16,512,64,10,2000,block,1,0.990550,1672.991037,4.083991,819.498181,1250.389576,562.137365,1.450419,15384.605000,25000,25000.000000,25000,1.000000,3351.370335,596.770813

45244.master_ubss1,ivf-mpi-omp,4,4,2,8,16,512,64,10,2000,block,1,0.990550,1734.708071,3.688216,837.552339,1279.591322,604.153872,1.404166,15384.605000,25000,25000.000000,25000,1.000000,3474.788666,575.574572

45245.master_ubss1,ivf-mpi-omp,4,4,2,8,16,512,64,10,2000,block,1,0.990550,1759.872556,4.049540,829.838783,1331.757903,728.499413,1.448989,15384.605000,25000,25000.000000,25000,1.000000,3525.195122,567.344482

45246.master_ubss1,ivf-mpi-omp,4,4,2,8,16,512,64,10,2000,block,1,0.990550,1755.009055,3.709555,821.812153,1316.514015,720.044374,1.440763,15384.605000,25000,25000.000000,25000,1.000000,3515.415430,568.922803

45247.master_ubss1,ivf-mpi-omp,2,8,2,8,16,512,64,10,2000,block,1,0.990550,1908.071399,3.064275,1031.752050,1236.313105,267.500162,1.020432,15384.605000,50000,50000.000000,50000,1.000000,3821.706772,523.326388

