run_id,group,algorithm,np,threads,nodes,ppn,total_cores,nlist,nprobe,k,test_queries,partition,cache_hit,recall,latency_us,bcast_us,search_avg_us,search_max_us,gather_us,merge_us,candidate_count_avg,work_min,work_avg,work_max,imbalance_ratio,batch_time_ms,qps
45325.master_ubss1,smoke,ivf-mpi-3-3,1,2,1,2,2,512,64,10,200,block-id,1,0.991000,521.204472,0.442266,481.690168,481.690168,0.696182,0.487566,15113.300000,100000,100000.000000,100000,1.000000,104.647636,1911.175511
45326.master_ubss1,IVF-A,ivf-mpi-3-3,1,1,1,1,1,512,32,10,2000,block-id,1,0.971350,562.358975,0.460386,526.903272,526.903272,0.606656,0.456214,8724.534500,100000,100000.000000,100000,1.000000,1128.044605,1772.979535
45327.master_ubss1,IVF-A,ivf-mpi-3-3,1,1,1,1,1,512,32,10,2000,block-id,1,0.971350,543.246388,0.325084,508.134484,508.134484,0.493288,0.424623,8724.534500,100000,100000.000000,100000,1.000000,1089.653492,1835.445869
45328.master_ubss1,IVF-A,ivf-mpi-3-3,1,1,1,1,1,512,32,10,2000,block-id,1,0.971350,577.190757,0.375748,541.824698,541.824698,0.508666,0.446320,8724.534500,100000,100000.000000,100000,1.000000,1157.653332,1727.632915
45329.master_ubss1,IVF-A,ivf-mpi-3-3,1,1,1,1,1,512,64,10,2000,block-id,1,0.990550,979.996681,0.436544,938.751817,938.751817,0.685811,0.527501,15384.605000,100000,100000.000000,100000,1.000000,1963.570356,1018.552757
45330.master_ubss1,IVF-A,ivf-mpi-3-3,1,1,1,1,1,512,64,10,2000,block-id,1,0.990550,973.395228,0.499606,931.588769,931.588769,0.757337,0.488520,15384.605000,100000,100000.000000,100000,1.000000,1950.242043,1025.513734
45331.master_ubss1,IVF-A,ivf-mpi-3-3,1,1,1,1,1,512,64,10,2000,block-id,1,0.990550,975.340247,0.429869,933.009863,933.009863,0.737071,0.498414,15384.605000,100000,100000.000000,100000,1.000000,1954.279661,1023.394983
45332.master_ubss1,IVF-A,ivf-mpi-3-3,1,1,1,1,1,256,32,10,2000,block-id,1,0.987800,1060.138106,0.554562,1037.572622,1037.572622,0.691891,0.511527,16025.123500,100000,100000.000000,100000,1.000000,2123.932362,941.649572
45333.master_ubss1,IVF-A,ivf-mpi-3-3,1,1,1,1,1,256,32,10,2000,block-id,1,0.987800,1045.779705,0.607967,1023.365140,1023.365140,0.743508,0.476241,16025.123500,100000,100000.000000,100000,1.000000,2095.258474,954.536170
45334.master_ubss1,IVF-A,ivf-mpi-3-3,1,1,1,1,1,256,32,10,2000,block-id,1,0.987800,962.237835,0.499249,939.924955,939.924955,0.767708,0.481486,16025.123500,100000,100000.000000,100000,1.000000,1927.904844,1037.395599
