run_id,group,algorithm,np,threads,nodes,ppn,total_cores,M,efConstruction,efSearch,k,test_queries,partition,cache_hit,recall,latency_us,bcast_us,search_avg_us,search_max_us,gather_us,merge_us,candidate_count_avg,work_min,work_avg,work_max,imbalance_ratio,build_avg_ms,build_max_ms,batch_time_ms,qps
45449.master_ubss1,smoke,hnsw-shard-mpi,1,1,1,2,1,16,150,50,10,200,block-id,0,0.968500,153.654814,0.211000,151.586533,151.586533,0.501871,0.510216,10.000000,100000,100000.000000,100000,1.000000,30816.090345,30816.090345,31.069756,6437.128211
45450.master_ubss1,HNSW-A,hnsw-shard-mpi,1,1,1,1,1,16,150,20,10,2000,block-id,1,0.899700,74.799180,0.138640,73.194027,73.194027,0.315309,0.348568,10.000000,100000,100000.000000,100000,1.000000,113.008738,113.008738,152.518034,13113.203388
45451.master_ubss1,HNSW-A,hnsw-shard-mpi,1,1,1,1,1,16,150,20,10,2000,block-id,1,0.899700,82.834005,0.179291,81.140518,81.140518,0.324488,0.342727,10.000000,100000,100000.000000,100000,1.000000,103.901625,103.901625,168.628216,11860.411323
45452.master_ubss1,HNSW-A,hnsw-shard-mpi,1,1,1,1,1,16,150,20,10,2000,block-id,1,0.899700,75.224161,0.150204,73.626876,73.626876,0.277400,0.338197,10.000000,100000,100000.000000,100000,1.000000,101.983547,101.983547,153.405905,13037.307808
45453.master_ubss1,HNSW-A,hnsw-shard-mpi,1,1,1,1,1,16,150,50,10,2000,block-id,1,0.970600,146.460295,0.183582,144.523382,144.523382,0.445604,0.389934,10.000000,100000,100000.000000,100000,1.000000,109.337330,109.337330,296.216488,6751.818625
45454.master_ubss1,HNSW-A,hnsw-shard-mpi,1,1,1,1,1,16,150,50,10,2000,block-id,1,0.970600,144.458890,0.192642,142.570138,142.570138,0.390887,0.397563,10.000000,100000,100000.000000,100000,1.000000,104.291677,104.291677,292.249918,6843.457866
45455.master_ubss1,HNSW-A,hnsw-shard-mpi,1,1,1,1,1,16,150,50,10,2000,block-id,1,0.970600,145.212770,0.187635,143.333435,143.333435,0.424743,0.389576,10.000000,100000,100000.000000,100000,1.000000,101.178885,101.178885,293.703318,6809.592810
45456.master_ubss1,HNSW-A,hnsw-shard-mpi,1,1,1,1,1,16,150,80,10,2000,block-id,1,0.986450,211.340666,0.269890,209.133983,209.133983,0.512362,0.432253,10.000000,100000,100000.000000,100000,1.000000,109.673262,109.673262,426.296234,4691.573230
45457.master_ubss1,HNSW-A,hnsw-shard-mpi,1,1,1,1,1,16,150,80,10,2000,block-id,1,0.986450,207.545519,0.241876,205.448508,205.448508,0.498414,0.414371,10.000000,100000,100000.000000,100000,1.000000,101.492882,101.492882,418.626547,4777.527883
45458.master_ubss1,HNSW-A,hnsw-shard-mpi,1,1,1,1,1,16,150,80,10,2000,block-id,1,0.986450,210.167527,0.247598,208.084226,208.084226,0.480890,0.419974,10.000000,100000,100000.000000,100000,1.000000,105.553627,105.553627,423.921108,4717.858963
45459.master_ubss1,HNSW-A,hnsw-shard-mpi,1,1,1,1,1,16,150,100,10,2000,block-id,1,0.991350,249.845743,0.281692,247.482181,247.482181,0.580668,0.435352,10.000000,100000,100000.000000,100000,1.000000,101.690292,101.690292,503.373623,3973.191898
45460.master_ubss1,HNSW-A,hnsw-shard-mpi,1,1,1,1,1,16,150,100,10,2000,block-id,1,0.991350,251.261234,0.257134,248.966336,248.966336,0.576138,0.427127,10.000000,100000,100000.000000,100000,1.000000,101.420879,101.420879,506.248713,3950.627331
45461.master_ubss1,HNSW-A,hnsw-shard-mpi,1,1,1,1,1,16,150,100,10,2000,block-id,1,0.991350,247.882366,0.271440,245.657086,245.657086,0.545740,0.433326,10.000000,100000,100000.000000,100000,1.000000,105.268717,105.268717,499.449968,4004.405099
45462.master_ubss1,HNSW-A,hnsw-shard-mpi,1,1,1,1,1,16,150,150,10,2000,block-id,1,0.996150,345.692873,0.327587,343.155265,343.155265,0.666976,0.465751,10.000000,100000,100000.000000,100000,1.000000,106.546640,106.546640,695.305586,2876.433097
45463.master_ubss1,HNSW-A,hnsw-shard-mpi,1,1,1,1,1,16,150,150,10,2000,block-id,1,0.996150,347.028255,0.359297,344.399452,344.399452,0.723362,0.476360,10.000000,100000,100000.000000,100000,1.000000,108.672380,108.672380,698.023796,2865.231832
45464.master_ubss1,HNSW-A,hnsw-shard-mpi,1,1,1,1,1,16,150,150,10,2000,block-id,1,0.996150,347.315669,0.379682,344.598293,344.598293,0.753999,0.460744,10.000000,100000,100000.000000,100000,1.000000,105.344772,105.344772,698.543310,2863.100929
45465.master_ubss1,HNSW-A,hnsw-shard-mpi,1,1,1,1,1,16,150,200,10,2000,block-id,1,0.997800,435.506463,0.423312,432.565451,432.565451,0.863552,0.477195,10.000000,100000,100000.000000,100000,1.000000,109.093666,109.093666,875.074148,2285.520609
45466.master_ubss1,HNSW-A,hnsw-shard-mpi,1,1,1,1,1,16,150,200,10,2000,block-id,1,0.997800,438.445330,0.385284,435.612202,435.612202,0.805736,0.474811,10.000000,100000,100000.000000,100000,1.000000,102.826595,102.826595,880.975962,2270.209503
45467.master_ubss1,HNSW-A,hnsw-shard-mpi,1,1,1,1,1,16,150,200,10,2000,block-id,1,0.997800,439.104676,0.387549,436.203122,436.203122,0.863791,0.484347,10.000000,100000,100000.000000,100000,1.000000,101.701975,101.701975,882.384777,2266.584887
45468.master_ubss1,HNSW-B,hnsw-shard-mpi,1,1,1,1,1,16,150,100,10,2000,block-id,1,0.991350,250.747800,0.299454,248.475194,248.475194,0.562429,0.440121,10.000000,100000,100000.000000,100000,1.000000,102.112293,102.112293,505.246162,3958.466484
45469.master_ubss1,HNSW-B,hnsw-shard-mpi,1,1,1,1,1,16,150,100,10,2000,block-id,1,0.991350,254.107714,0.275135,251.818419,251.818419,0.534058,0.446558,10.000000,100000,100000.000000,100000,1.000000,108.430862,108.430862,512.047529,3905.887414
45470.master_ubss1,HNSW-B,hnsw-shard-mpi,1,1,1,1,1,16,150,100,10,2000,block-id,1,0.991350,249.742985,0.284910,247.413039,247.413039,0.586152,0.451684,10.000000,100000,100000.000000,100000,1.000000,108.080387,108.080387,503.149271,3974.963525
45471.master_ubss1,HNSW-B,hnsw-shard-mpi,2,1,1,2,2,16,150,100,10,2000,block-id,0,0.996950,247.936726,1.233697,234.522283,240.249753,12.668848,0.946641,20.000000,50000,50000.000000,50000,1.000000,14161.768556,14330.787182,499.885798,4000.913829
45472.master_ubss1,HNSW-B,hnsw-shard-mpi,2,1,1,2,2,16,150,100,10,2000,block-id,1,0.996950,253.792048,1.203418,238.417387,246.319413,4.671812,1.025438,20.000000,50000,50000.000000,50000,1.000000,59.185028,59.669018,511.579037,3909.464338
45473.master_ubss1,HNSW-B,hnsw-shard-mpi,2,1,1,2,2,16,150,100,10,2000,block-id,1,0.996950,256.622434,0.875592,243.780851,249.865294,13.580561,0.981808,20.000000,50000,50000.000000,50000,1.000000,56.142926,57.368994,517.374516,3865.671656
45474.master_ubss1,HNSW-B,hnsw-shard-mpi,4,1,1,4,4,16,150,100,10,2000,block-id,0,0.998600,242.923260,0.967979,216.942817,235.311151,7.481217,1.139760,40.000000,25000,25000.000000,25000,1.000000,6374.892533,6772.160053,489.834309,4083.013306
45475.master_ubss1,HNSW-B,hnsw-shard-mpi,4,1,1,4,4,16,150,100,10,2000,block-id,1,0.998600,247.962236,1.252890,217.051029,238.422155,5.634665,1.259685,40.000000,25000,25000.000000,25000,1.000000,30.817151,31.712055,499.998093,4000.015259
45476.master_ubss1,HNSW-B,hnsw-shard-mpi,4,1,1,4,4,16,150,100,10,2000,block-id,1,0.998600,239.668608,1.355410,217.564851,229.820013,14.783263,1.269460,40.000000,25000,25000.000000,25000,1.000000,29.806197,31.476736,483.356476,4137.732916
45477.master_ubss1,HNSW-B,hnsw-shard-mpi,8,1,1,8,8,16,150,100,10,2000,block-id,0,0.999750,231.121898,1.762748,188.370466,219.867349,55.946350,1.568556,80.000000,12500,12500.000000,12500,1.000000,2660.561919,2991.378069,466.251612,4289.529408
45478.master_ubss1,HNSW-B,hnsw-shard-mpi,8,1,1,8,8,16,150,100,10,2000,block-id,1,0.999750,236.824870,1.531720,191.767305,226.184487,41.364670,1.578212,80.000000,12500,12500.000000,12500,1.000000,19.029051,20.508051,477.914810,4184.846247
45479.master_ubss1,HNSW-B,hnsw-shard-mpi,8,1,1,8,8,16,150,100,10,2000,block-id,1,0.999750,217.955709,1.434684,184.419721,205.363512,37.946105,1.505017,80.000000,12500,12500.000000,12500,1.000000,16.800880,17.513514,439.803600,4547.484374
45480.master_ubss1,HNSW-B,hnsw-shard-mpi,16,1,2,8,16,16,150,100,10,2000,block-id,0,0.999850,352.181554,21.710515,149.522528,178.075671,174.881339,2.798438,160.000000,6250,6250.000000,6250,1.000000,1062.093511,1161.330462,709.669113,2818.214803
45481.master_ubss1,HNSW-B,hnsw-shard-mpi,16,1,2,8,16,16,150,100,10,2000,block-id,1,0.999850,331.247091,20.955801,149.661809,167.152405,143.436551,2.636909,160.000000,6250,6250.000000,6250,1.000000,11.069074,11.782646,667.709112,2995.316319
45482.master_ubss1,HNSW-B,hnsw-shard-mpi,16,1,2,8,16,16,150,100,10,2000,block-id,1,0.999850,370.080709,23.039937,164.198913,196.597934,174.393535,2.632618,160.000000,6250,6250.000000,6250,1.000000,9.889975,10.568142,745.220184,2683.770572
45483.master_ubss1,HNSW-C,hnsw-shard-mpi,4,1,1,4,4,16,150,50,10,2000,block-id,1,0.993250,144.076109,1.080155,123.265922,133.937597,23.212552,1.104474,40.000000,25000,25000.000000,25000,1.000000,30.046046,30.771494,291.736841,6855.493436
45484.master_ubss1,HNSW-C,hnsw-shard-mpi,4,1,1,4,4,16,150,50,10,2000,block-id,1,0.993250,147.477865,0.962138,128.964335,139.813900,22.250891,1.094341,40.000000,25000,25000.000000,25000,1.000000,30.362844,30.769825,298.508644,6699.973483
45485.master_ubss1,HNSW-C,hnsw-shard-mpi,4,1,1,4,4,16,150,50,10,2000,block-id,1,0.993250,148.865223,0.978589,129.896849,140.468359,14.965296,1.098037,40.000000,25000,25000.000000,25000,1.000000,29.874325,30.786991,301.377296,6636.199951
45486.master_ubss1,HNSW-C,hnsw-shard-mpi,4,1,1,4,4,16,150,80,10,2000,block-id,1,0.997900,209.402442,1.029491,182.912469,201.321840,34.697890,1.150966,40.000000,25000,25000.000000,25000,1.000000,30.265987,31.787872,422.845602,4729.858819
45487.master_ubss1,HNSW-C,hnsw-shard-mpi,4,1,1,4,4,16,150,80,10,2000,block-id,1,0.997900,201.404572,1.114845,182.886958,192.697525,10.968924,1.139998,40.000000,25000,25000.000000,25000,1.000000,29.354990,30.921221,406.877279,4915.487057
45488.master_ubss1,HNSW-C,hnsw-shard-mpi,4,1,1,4,4,16,150,80,10,2000,block-id,1,0.997900,203.991413,1.199007,184.830338,195.141792,10.604143,1.194835,40.000000,25000,25000.000000,25000,1.000000,30.038953,30.875683,411.942482,4855.046730
45489.master_ubss1,HNSW-C,hnsw-shard-mpi,4,1,1,4,4,16,150,100,10,2000,block-id,1,0.998600,246.050954,1.107454,223.303914,237.571120,23.084044,1.251578,40.000000,25000,25000.000000,25000,1.000000,30.463696,30.992985,496.282101,4029.966016
